Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-10-03,Monaco vs Bordeaux,2021_22,ligue1,Draw,5,2.5,4.96,✅ Excellent,loss,-1.0
2021-10-03,Monaco vs Bordeaux,2021_22,ligue1,Away,5,5.71,8.02,✅ Good,loss,-1.0
2021-10-03,Nantes vs Troyes,2021_22,ligue1,Away,0,2.81,4.72,✅ Excellent,loss,-1.0
2021-10-03,Lille vs Marseille,2021_22,ligue1,Away,-4,2.6,2.97,✅ Fair,loss,-1.0
2021-10-03,St Etienne vs Lyon,2021_22,ligue1,Home,-14,3.33,4.35,✅ Good,loss,-1.0
2021-10-03,St Etienne vs Lyon,2021_22,ligue1,Draw,-14,3.33,3.97,✅ Good,win,2.97
2021-10-03,Angers vs Metz,2021_22,ligue1,Away,4,3.83,4.09,✅ Fair,loss,-1.0
2021-10-15,Paris SG vs Angers,2021_22,ligue1,Away,8,2.7,8.43,✅ Excellent,loss,-1.0
2021-10-16,Clermont vs Lille,2021_22,ligue1,Away,-15,1.1,2.27,✅ Excellent,loss,-1.0
2021-10-16,Lyon vs Monaco,2021_22,ligue1,Draw,-2,2.69,3.61,✅ Good,loss,-1.0
2021-10-16,Lyon vs Monaco,2021_22,ligue1,Away,-2,2.87,3.09,✅ Fair,loss,-1.0
2021-10-17,Marseille vs Lorient,2021_22,ligue1,Draw,1,3.95,4.28,✅ Fair,loss,-1.0
2021-10-17,Marseille vs Lorient,2021_22,ligue1,Away,1,3.57,6.2,✅ Excellent,loss,-1.0
2021-10-17,Montpellier vs Lens,2021_22,ligue1,Home,-5,1.89,3.0,✅ Excellent,win,2.0
2021-10-17,Strasbourg vs St Etienne,2021_22,ligue1,Draw,13,2.5,3.36,✅ Good,loss,-1.0
2021-10-17,Strasbourg vs St Etienne,2021_22,ligue1,Away,13,2.5,3.56,✅ Good,loss,-1.0
2021-10-17,Bordeaux vs Nantes,2021_22,ligue1,Away,-9,1.71,2.64,✅ Excellent,loss,-1.0
2021-10-17,Brest vs Reims,2021_22,ligue1,Home,-5,1.89,2.34,✅ Good,loss,-1.0
2021-10-17,Troyes vs Nice,2021_22,ligue1,Home,-12,2.4,4.14,✅ Excellent,win,3.14
2021-10-17,Metz vs Rennes,2021_22,ligue1,Home,-8,3.5,4.46,✅ Good,loss,-1.0
2021-10-22,St Etienne vs Angers,2021_22,ligue1,Away,-9,1.71,2.55,✅ Excellent,loss,-1.0
2021-10-23,Nantes vs Clermont,2021_22,ligue1,Home,14,1.6,2.22,✅ Excellent,win,1.22
2021-10-23,Lille vs Brest,2021_22,ligue1,Draw,5,2.5,4.17,✅ Excellent,win,3.17
2021-10-23,Lille vs Brest,2021_22,ligue1,Away,5,5.71,6.01,✅ Fair,loss,-1.0
2021-10-24,Rennes vs Strasbourg,2021_22,ligue1,Draw,2,2.75,3.68,✅ Good,loss,-1.0
2021-10-24,Nice vs Lyon,2021_22,ligue1,Home,-1,2.48,2.56,✅ Fair,win,1.56
2021-10-24,Marseille vs Paris SG,2021_22,ligue1,Home,-3,2.11,5.06,✅ Excellent,loss,-1.0
2021-10-24,Marseille vs Paris SG,2021_22,ligue1,Draw,-3,3.93,4.39,✅ Fair,win,3.39
2021-10-24,Monaco vs Montpellier,2021_22,ligue1,Draw,2,2.75,4.6,✅ Excellent,loss,-1.0
2021-10-24,Monaco vs Montpellier,2021_22,ligue1,Away,2,5.0,6.56,✅ Good,loss,-1.0
2021-10-24,Lorient vs Bordeaux,2021_22,ligue1,Draw,2,2.75,3.45,✅ Good,win,2.45
2021-10-24,Lens vs Metz,2021_22,ligue1,Home,12,1.5,1.64,✅ Good,win,0.64
2021-10-24,Reims vs Troyes,2021_22,ligue1,Draw,2,2.75,3.19,✅ Good,loss,-1.0
2021-10-27,Nice vs Marseille,2021_22,ligue1,Home,1,2.14,2.45,✅ Good,loss,-1.0
2021-10-29,Paris SG vs Lille,2021_22,ligue1,Draw,1,3.95,5.05,✅ Good,loss,-1.0
2021-10-29,Paris SG vs Lille,2021_22,ligue1,Away,1,3.57,8.53,✅ Excellent,loss,-1.0
2021-10-30,Metz vs St Etienne,2021_22,ligue1,Home,0,2.21,2.6,✅ Good,loss,-1.0
2021-10-30,Lyon vs Lens,2021_22,ligue1,Draw,-3,3.93,4.18,✅ Fair,loss,-1.0
2021-10-30,Lyon vs Lens,2021_22,ligue1,Away,-3,3.69,4.66,✅ Good,loss,-1.0
2021-10-31,Bordeaux vs Reims,2021_22,ligue1,Home,0,2.21,2.5,✅ Fair,win,1.5
2021-10-31,Bordeaux vs Reims,2021_22,ligue1,Away,0,2.81,2.96,✅ Fair,loss,-1.0
2021-10-31,Clermont vs Marseille,2021_22,ligue1,Away,-8,2.1,2.33,✅ Fair,win,1.33
2021-10-31,Strasbourg vs Lorient,2021_22,ligue1,Home,8,1.8,1.98,✅ Fair,win,0.98
2021-10-31,Strasbourg vs Lorient,2021_22,ligue1,Away,8,2.7,3.87,✅ Good,loss,-1.0
2021-10-31,Angers vs Nice,2021_22,ligue1,Draw,-6,3.0,3.34,✅ Fair,loss,-1.0
2021-10-31,Montpellier vs Nantes,2021_22,ligue1,Away,-9,1.71,3.0,✅ Excellent,loss,-1.0
2021-10-31,Troyes vs Rennes,2021_22,ligue1,Home,-12,2.4,3.75,✅ Excellent,loss,-1.0
2021-10-31,Brest vs Monaco,2021_22,ligue1,Away,-11,1.71,1.77,✅ Fair,loss,-1.0
2021-11-05,Lens vs Troyes,2021_22,ligue1,Draw,5,2.5,4.12,✅ Excellent,loss,-1.0
2021-11-06,Lille vs Angers,2021_22,ligue1,Draw,3,2.52,3.57,✅ Good,win,2.57
2021-11-06,Bordeaux vs Paris SG,2021_22,ligue1,Home,-5,1.89,8.8,✅ Excellent,loss,-1.0
2021-11-06,Bordeaux vs Paris SG,2021_22,ligue1,Draw,-5,4.64,5.62,✅ Good,loss,-1.0
2021-11-07,Marseille vs Metz,2021_22,ligue1,Away,8,2.7,7.51,✅ Excellent,loss,-1.0
2021-11-07,Lorient vs Brest,2021_22,ligue1,Away,-4,2.6,2.97,✅ Fair,win,1.97
2021-11-07,Rennes vs Lyon,2021_22,ligue1,Home,8,1.8,2.64,✅ Excellent,win,1.64
2021-11-07,Reims vs Monaco,2021_22,ligue1,Home,-8,3.5,4.0,✅ Fair,loss,-1.0
2021-11-07,Nice vs Montpellier,2021_22,ligue1,Draw,6,3.69,4.41,✅ Good,loss,-1.0
2021-11-07,Nice vs Montpellier,2021_22,ligue1,Away,6,3.43,5.51,✅ Excellent,win,4.51
2021-11-07,St Etienne vs Clermont,2021_22,ligue1,Home,0,2.21,2.51,✅ Fair,win,1.51
2021-11-07,St Etienne vs Clermont,2021_22,ligue1,Away,0,2.81,2.83,✅ Fair,loss,-1.0
2021-11-07,Nantes vs Strasbourg,2021_22,ligue1,Draw,-6,3.0,3.3,✅ Fair,win,2.3
2021-11-07,Nantes vs Strasbourg,2021_22,ligue1,Away,-6,2.7,3.07,✅ Fair,loss,-1.0
2021-11-19,Monaco vs Lille,2021_22,ligue1,Draw,2,2.75,3.25,✅ Good,win,2.25
2021-11-20,Paris SG vs Nantes,2021_22,ligue1,Draw,4,3.83,6.35,✅ Excellent,loss,-1.0
2021-11-20,Paris SG vs Nantes,2021_22,ligue1,Away,4,3.83,11.92,✅ Excellent,loss,-1.0
2021-11-20,Rennes vs Montpellier,2021_22,ligue1,Draw,9,3.0,4.45,✅ Good,loss,-1.0
2021-11-21,Brest vs Lens,2021_22,ligue1,Draw,-7,2.5,3.53,✅ Good,loss,-1.0
2021-11-21,Angers vs Lorient,2021_22,ligue1,Home,7,1.4,1.89,✅ Excellent,win,0.89
2021-11-21,Troyes vs St Etienne,2021_22,ligue1,Home,2,2.29,2.35,✅ Fair,loss,-1.0
2021-11-21,Troyes vs St Etienne,2021_22,ligue1,Draw,2,2.75,3.38,✅ Good,loss,-1.0
2021-11-21,Clermont vs Nice,2021_22,ligue1,Home,-5,1.89,3.33,✅ Excellent,loss,-1.0
2021-11-21,Metz vs Bordeaux,2021_22,ligue1,Home,-3,2.11,2.42,✅ Good,loss,-1.0
2021-11-21,Strasbourg vs Reims,2021_22,ligue1,Home,8,1.8,2.01,✅ Good,loss,-1.0
2021-11-21,Strasbourg vs Reims,2021_22,ligue1,Away,8,2.7,4.07,✅ Excellent,loss,-1.0
2021-11-26,Lens vs Angers,2021_22,ligue1,Draw,3,2.52,3.53,✅ Good,win,2.53
2021-11-27,Nice vs Metz,2021_22,ligue1,Away,8,2.7,7.54,✅ Excellent,win,6.54
2021-11-27,Lille vs Nantes,2021_22,ligue1,Away,1,3.57,5.38,✅ Good,loss,-1.0
2021-11-28,Bordeaux vs Brest,2021_22,ligue1,Away,-9,1.71,2.91,✅ Excellent,win,1.91
2021-11-28,St Etienne vs Paris SG,2021_22,ligue1,Home,-5,1.89,8.51,✅ Excellent,loss,-1.0
2021-11-28,St Etienne vs Paris SG,2021_22,ligue1,Draw,-5,4.64,5.57,✅ Good,loss,-1.0
2021-11-28,Monaco vs Strasbourg,2021_22,ligue1,Draw,-6,3.0,4.07,✅ Good,win,3.07
2021-11-28,Monaco vs Strasbourg,2021_22,ligue1,Away,-6,2.7,4.91,✅ Excellent,loss,-1.0
2021-11-28,Montpellier vs Lyon,2021_22,ligue1,Home,1,2.14,4.21,✅ Excellent,loss,-1.0
2021-11-28,Montpellier vs Lyon,2021_22,ligue1,Draw,1,3.95,4.23,✅ Fair,loss,-1.0
2021-11-28,Reims vs Clermont,2021_22,ligue1,Away,-1,2.79,3.08,✅ Fair,loss,-1.0
2021-11-28,Marseille vs Troyes,2021_22,ligue1,Home,7,1.4,1.54,✅ Good,win,0.54
2021-12-01,Troyes vs Lorient,2021_22,ligue1,Home,7,1.4,2.37,✅ Excellent,win,1.37
2021-12-01,Metz vs Montpellier,2021_22,ligue1,Away,-4,2.6,2.72,✅ Fair,win,1.72
2021-12-01,Angers vs Monaco,2021_22,ligue1,Home,1,2.14,3.22,✅ Excellent,loss,-1.0
2021-12-01,Strasbourg vs Bordeaux,2021_22,ligue1,Away,8,2.7,4.59,✅ Excellent,loss,-1.0
2021-12-01,Brest vs St Etienne,2021_22,ligue1,Home,12,1.5,2.11,✅ Excellent,win,1.11
2021-12-01,Clermont vs Lens,2021_22,ligue1,Home,-5,1.89,2.77,✅ Excellent,loss,-1.0
2021-12-01,Nantes vs Marseille,2021_22,ligue1,Away,-8,2.1,2.27,✅ Fair,win,1.27
2021-12-01,Paris SG vs Nice,2021_22,ligue1,Draw,6,3.69,5.05,✅ Good,win,4.05
2021-12-01,Paris SG vs Nice,2021_22,ligue1,Away,6,3.43,6.79,✅ Excellent,loss,-1.0
2021-12-01,Rennes vs Lille,2021_22,ligue1,Draw,13,2.5,3.52,✅ Good,loss,-1.0
2021-12-01,Rennes vs Lille,2021_22,ligue1,Away,13,2.5,3.59,✅ Good,win,2.59
2021-12-01,Lyon vs Reims,2021_22,ligue1,Draw,1,3.95,4.62,✅ Fair,loss,-1.0
2021-12-01,Lyon vs Reims,2021_22,ligue1,Away,1,3.57,6.46,✅ Excellent,win,5.46
2021-12-04,Lille vs Troyes,2021_22,ligue1,Draw,3,2.52,4.54,✅ Excellent,loss,-1.0
